SCHOOL,TYPE,WEBSITE,X,Y
MONTLAKE ELEM,Elementary,http://montlakees.seattleschools.org/,-122.30428420318243,47.640632637131866
NATHAN HALE HIGH SCHOOL,High School,http://halehs.seattleschools.org/,-122.29453073327772,47.707628608319176
NORTH BEACH ELEM,Elementary,http://northbeaches.seattleschools.org/,-122.38703550026234,47.694974510719824
NORTHGATE ELEM,Elementary,http://northgatees.seattleschools.org/,-122.32958504624088,47.71486716366007
MANN BLDG,Service School,http://novahs.seattleschools.org/,-122.30092570986332,47.60842417549941
OLYMPIC HILLS ELEM,Elementary,http://olympichillses.seattleschools.org/,-122.30675545410207,47.723686163285066
OLYMPIC VIEW ELEM,Elementary,http://olympicviewes.seattleschools.org/,-122.32125787014972,47.69823172103015
WHITWORTH ELEM,Option Elementary,http://orcak8.seattleschools.org/,-122.27595641802642,47.554778725663844
COOPER BLDG,Option Elementary,http://pathfinderk8.seattleschools.org/,-122.35799712337551,47.56360478470887
RAINIER BEACH HIGH SCHOOL,High School,http://rainierbeachhs.seattleschools.org,-122.26585898328396,47.52407076467203
RAINIER VIEW ELEM,Elementary,http://rainierviewes.seattleschools.org/,-122.26317206420448,47.49886332128322
ROOSEVELT HIGH SCHOOL,High School,http://roosevelths.seattleschools.org/,-122.31280953429793,47.67723139325543
SACAJAWEA ELEM,Elementary,http://sacajaweaes.seattleschools.org/,-122.30747272284216,47.69844854333672
MONROE BLDG,Option Elementary,http://salmonbayk8.seattleschools.org/,-122.38051207599736,47.676297410711975
SAND POINT BLDG,Elementary,http://sandpointes.seattleschools.org/,-122.26293322215679,47.673651548343116
SANISLO ELEM,Elementary,http://sanisloes.seattleschools.org/,-122.3586580822883,47.53960839015329
SOUTH LAKE HIGH SCHOOL,Service School,http://southlakehs.seattleschools.org/,-122.27091962684105,47.52526457731893
SOUTH SHORE SCHOOL P-8,Option Elementary,http://southshorek8.seattleschools.org/,-122.27200912132895,47.523742947899436
STEVENS ELEM,Elementary,http://stevenses.seattleschools.org/,-122.30786488461823,47.63145622991844
New Bldg,Option Elementary,http://thorntoncreekes.seattleschools.org/,-122.2843001930836,47.68565545672379
COLMAN SITE,Elementary,http://marshalles.seattleschools.org/,-122.29984633219809,47.59095854872509
SEWARD BLDG,Option Elementary,http://topsk8.seattleschools.org/,-122.32417847228486,47.642286857181865
AFRICAN AMERICAN ACADEMY,Elementary,http://vanasseltes.seattleschools.org/,-122.28903550728987,47.52915162930786
VIEW RIDGE ELEM,Elementary,http://viewridgees.seattleschools.org/,-122.27533216900079,47.68068710559105
VIEWLANDS ELEM,Elementary,http://viewlandses.seattleschools.org/,-122.36112944519192,47.705972815071156
WASHINGTON MIDDLE SCHOOL,Middle School,http://washingtonms.seattleschools.org/,-122.30414977415319,47.597955686543614
WEDGWOOD ELEM,Elementary,http://wedgwoodes.seattleschools.org/,-122.29705381661879,47.6905380455421
HIGH POINT ELEM,Elementary,http://westseattlees.seattleschools.org/,-122.37349268730291,47.54176186723985
WEST SEATTLE HIGH SCHOOL,High School,http://westseattlehs.seattleschools.org/,-122.38459096781273,47.57677968231782
WEST WOODLAND ELEM,Elementary,http://westwoodlandes.seattleschools.org/,-122.36224678159759,47.67059930369413
WHITMAN MIDDLE SCHOOL,Middle School,http://whitmanms.seattleschools.org/,-122.37760192308586,47.696751451416944
WHITTIER ELEM,Elementary,http://whittieres.seattleschools.org/,-122.37307537930306,47.683589823126795
MINOR ELEM,Service School,http://sws.seattleschools.org/,-122.30928639838751,47.61337341933622
DANIEL BAGLEY ELEM,Elementary,http://bagleyes.seattleschools.org/home,-122.34230487158544,47.68635706623243
HUGHES,Elementary,http://roxhilles.seattleschools.org/,-122.37492741813028,47.53283765918496
JOHN MARSHALL,Option Elementary,http://queenannees.seattleschools.org/,-122.32231534824145,47.67724814226682
LOYAL HEIGHTS,Elementary,http://loyalheightses.seattleschools.org/,-122.388965599636,47.686002572270496
WILSON-PACIFIC,Option Elementary,http://cascadiaes.seattleschools.org/,-122.3372911454753,47.69502397408708
WILSON-PACIFIC,Middle School,http://eaglestaffms.seattleschools.org/,-122.3395320612924,47.6954505262129
SEATTLE CENTER – CENTER HOUSE,Option High School,http://centerhs.seattleschools.org/,-122.35085839479828,47.621411853629645
VAN ASSELT ELEM,Elementary,http://lukees.seattleschools.org/,-122.2959130293799,47.53809082507081
